"id","Survey","Race","Gender","Education","Age_Group","Region","quota_cohort","LikelyVote","PartyAffiliate","survey_weight","Question1_Version","Experiment1_Question","Question2_Version","Experiment2_Question","EconomicConditions","EconomicExpect","CoronaWorry","CoronaChange","CoronaWork"
631,"Political Survey","White","Female","College Grad","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.627370461031677,"Version A","100","Version B","B","Only Fair","Get worse",NA,NA,NA
632,"Political Survey","White","Male","Some College or Associate","65+","Northeast","Northeast::65+::Male","Definitely will vote","Independent or another party",0.663408517074768,"Version B","100","Version A","A","Good","Improve",NA,NA,NA
633,"Coronavirus Survey","White","Male","College Grad","65+","Northeast","Northeast::65+::Male","Likely will vote","Republican Party",0.51213780792872,"Version A","100","Version B","B","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
634,"Political Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.913669251303991,"Version A","100","Version A","B","Only Fair","Get worse",NA,NA,NA
635,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Democratic Party",0.968063991660096,"Version A","100","Version B","C","Only Fair","Get worse",NA,NA,NA
636,"Coronavirus Survey","Other","Male","Some College or Associate","35-44","West","West::35-44::Male","Definitely will not vote","Republican Party",1.23188885754862,"Version B","10000","Version A","A","Poor","Stay about the same","Somewhat worried","Yes, changing routines or plans","Other change"
637,"Political Survey","White","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Independent or another party",0.766679362353337,"Version A","100","Version A","B","Only Fair","Improve",NA,NA,NA
638,"Political Survey","White","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Independent or another party",0.861094997881394,"Version B","1000","Version B","C","Poor","Get worse",NA,NA,NA
639,"Coronavirus Survey","White","Male","College Grad","35-44","Northeast","Northeast::35-44::Male","Likely will vote","Independent or another party",0.529537853757497,"Version B","10000000000","Version B","C","Good","Stay about the same","Not too worried","Yes, changing routines or plans","Working from home"
640,"Political Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Republican Party",1.02854507353346,"Version A","20","Version A","B","Good","Don't know",NA,NA,NA
641,"Coronavirus Survey","White","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Democratic Party",0.821751322763416,"Version A","100","Version A","A","Poor","Get worse","Not too worried","Yes, changing routines or plans","Hours cut back"
642,"Political Survey","White","Female","College Grad","45-64","West","West::45-64::Female","Definitely will vote","Republican Party",0.637996624777291,"Version B","1000000000","Version B","C","Poor","(Vol. DK/Refuse)",NA,NA,NA
643,"Coronavirus Survey","Black or African American","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Likely will not vote","Democratic Party",0.674697756583281,"Version B","30000","Version A","B","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
644,"Political Survey","White","Female","College Grad","35-44","West","West::35-44::Female","Definitely will vote","Democratic Party",0.623094013055941,"Version B","1000000","Version B","C","Poor","Get worse",NA,NA,NA
645,"Coronavirus Survey","White","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Republican Party",0.861094997881394,"Version A","100","Version A","A","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
646,"Political Survey","White","Female","HS or Less","65+","West","West::65+::Female","Definitely will vote","Republican Party",1.07007412414965,"Version B","100000","Version B","C","Only Fair","Improve",NA,NA,NA
647,"Coronavirus Survey","Black or African American","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",1.03114285806736,"Version B","110","Version A","B","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
648,"Coronavirus Survey","White","Male","College Grad","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Republican Party",0.652973375348396,"Version A","100","Version B","C","Only Fair","Don't know","Not too worried","Yes, changing routines or plans","Not changed"
649,"Coronavirus Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.910278979871321,"Version A","100","Version A","B","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Not changed"
650,"Political Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",1.02270682558252,"Version B","1000","Version A","C","Good","Get worse",NA,NA,NA
651,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Likely will vote","Republican Party",0.812677566010643,"Version B","100","Version B","C","Only Fair","Get worse",NA,NA,NA
652,"Political Survey","White","Male","College Grad","35-44","West","West::35-44::Male","Definitely will vote","Democratic Party",0.776652924335095,"Version B","10","Version B","C","Excellent","Get worse",NA,NA,NA
653,"Coronavirus Survey","Black or African American","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",0.844895592541329,NA,NA,"Version B","B","Poor","Don't know","Very worried","Yes, changing routines or plans","Other change"
654,"Coronavirus Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Definitely will vote","Independent or another party",1.02270682558252,"Version B","10000","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
655,"Political Survey","White","Female","Post-Grad","35-44","West","West::35-44::Female","Likely will vote","Republican Party",0.757270854038477,"Version B","100000",NA,NA,"Poor","Get worse",NA,NA,NA
656,"Political Survey","White","Male","HS or Less","35-44","West","West::35-44::Male","Definitely will not vote","Independent or another party",1.2520795693066,"Version A","10","Version A","B","Only Fair","(Vol. DK/Refuse)",NA,NA,NA
657,"Coronavirus Survey","Black or African American","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Independent or another party",0.951952100329036,"Version B","100","Version A","A","Poor","Get worse","Not too worried","No, not changing routines or plans","Not changed"
658,"Political Survey","Black or African American","Female","College Grad","35-44","Northeast","Northeast::35-44::Female","Definitely will vote","Democratic Party",0.564501194413241,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
659,"Coronavirus Survey","White","Female","Some College or Associate","35-44","Northeast","Northeast::35-44::Female","Definitely will vote","Democratic Party",0.717247834140177,"Version A","100","Version A","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
660,"Political Survey","White","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",1.20479958406647,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
661,"Political Survey","Black or African American","Male","HS or Less","35-44","South","South::35-44::Male","Definitely will vote","Republican Party",1.16358872312927,"Version A","100","Version B","B","Excellent","Improve",NA,NA,NA
662,"Coronavirus Survey","White","Female","Some College or Associate","65+","Midwest","Midwest::65+::Female","Definitely will vote","Republican Party",0.894046859124752,"Version A","100","Version B","C","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
663,"Political Survey","White","Male","HS or Less","35-44","South","South::35-44::Male","Likely will not vote","Republican Party",1.14132591733739,"Version A","1000","Version A","B","Only Fair","Stay about the same",NA,NA,NA
664,"Political Survey","White","Male","HS or Less","65+","Midwest","Midwest::65+::Male","Definitely will vote","Independent or another party",1.14480353610126,"Version A","100","Version B","B","Only Fair","Get worse",NA,NA,NA
665,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will not vote","Republican Party",1.01141412338944,"Version B","1000000","Version A","A","Good","Get worse","Very worried","Yes, changing routines or plans","Not changed"
666,"Political Survey","Hispanic","Male","College Grad","65+","South","South::65+::Male","Definitely will vote","Republican Party",1.44900140224996,"Version B","100","Version B","C","Excellent","Stay about the same",NA,NA,NA
667,"Coronavirus Survey","White","Female","HS or Less","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",1.03139248557937,"Version A","100","Version A","A","Poor","Stay about the same","Very worried","Yes, changing routines or plans","Not changed"
668,"Political Survey","Hispanic","Male","College Grad","18-34","South","South::18-34::Male","Definitely will vote","Democratic Party",2.60220293795987,"Version A","15","Version B","C","Poor","Get worse",NA,NA,NA
669,"Coronavirus Survey","White","Male","Some College or Associate","65+","West","West::65+::Male","Definitely will vote","Independent or another party",1.22579114699047,"Version A","100","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
670,"Political Survey","White","Female","College Grad","65+","Midwest","Midwest::65+::Female","Definitely will vote","Republican Party",0.690185891246409,"Version B","1000000000000000013287555072","Version A","A","Excellent","Stay about the same",NA,NA,NA
671,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Likely will vote","Republican Party",0.747325603852101,"Version B","10000","Version B","C","Excellent","Stay about the same",NA,NA,NA
672,"Political Survey","White","Male","HS or Less","65+","Midwest","Midwest::65+::Male","Definitely will vote","Republican Party",1.14480353610126,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
673,"Coronavirus Survey","White","Female","College Grad","18-34","West","West::18-34::Female","Likely will vote","Democratic Party",0.639762847105695,"Version A","100","Version B","C","Excellent","Stay about the same","Somewhat worried","Yes, changing routines or plans","Working from home"
674,"Coronavirus Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Republican Party",1.07167181532095,"Version A","100","Version B","C","Good","Improve","Not too worried","Yes, changing routines or plans","Not changed"
675,"Coronavirus Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.731414846446271,"Version B","100","Version A","C","Good","Improve","Very worried","Yes, changing routines or plans","Working from home"
676,"Political Survey","White","Male","HS or Less","45-64","West","West::45-64::Male","Definitely will vote","Democratic Party",1.0732741905022,"Version A","100","Version B","A","Only Fair","Get worse",NA,NA,NA
677,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",1.01141412338944,"Version A","6","Version B","A","Excellent","Improve","Not too worried","No, not changing routines or plans","Switched jobs"
678,"Political Survey","White","Female","College Grad","18-34","South","South::18-34::Female","Likely will vote","Democratic Party",0.668176097339066,"Version A","100","Version A","A","Good","Improve",NA,NA,NA
679,"Coronavirus Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",0.731414846446271,"Version A","1000","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
680,"Political Survey","White","Male","HS or Less","18-34","South","South::18-34::Male","Definitely will vote","Democratic Party",2.30939404016988,"Version A","100","Version A","B","Good","Stay about the same",NA,NA,NA
681,"Coronavirus Survey","White","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will not vote","Democratic Party",0.828730304826455,"Version B","1000","Version B","B","Poor","Get worse","Not too worried","Yes, changing routines or plans","Laid off"
682,"Political Survey","White","Female","College Grad","45-64","South","South::45-64::Female","Definitely will not vote","Democratic Party",0.627370461031677,"Version B","100000","Version A","B","Only Fair","Get worse",NA,NA,NA
683,"Political Survey","White","Male","College Grad","35-44","West","West::35-44::Male","Likely will vote","Republican Party",0.776652924335095,"Version B","100","Version A","C","Good","Improve",NA,NA,NA
684,"Political Survey","White","Male","Post-Grad","65+","South","South::65+::Male","Definitely will vote","Republican Party",0.969434340867509,"Version A","550","Version B","C","Good","Stay about the same",NA,NA,NA
685,"Coronavirus Survey","White","Female","College Grad","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.627370461031677,"Version B","100","Version B","A","Good","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
686,"Coronavirus Survey","White","Male","College Grad","35-44","South","South::35-44::Male","Definitely will vote","Independent or another party",0.707953498363058,"Version A","100","Version B","C","Excellent","Improve","Very worried","Yes, changing routines or plans","Hours cut back"
687,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Independent or another party",0.904731188571337,"Version B","100","Version A","A","Poor","Improve",NA,NA,NA
688,"Political Survey","White","Male","College Grad","35-44","West","West::35-44::Male","Definitely will vote","Independent or another party",0.776652924335095,"Version B","200","Version B","C","Good","Improve",NA,NA,NA
689,"Coronavirus Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will not vote","Independent or another party",0.812677566010643,"Version B","7000","Version B","C","Only Fair","Get worse","Somewhat worried","No, not changing routines or plans","Not changed"
690,"Coronavirus Survey","White","Male","College Grad","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Democratic Party",0.838333210595406,"Version B","1000","Version A","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
691,"Coronavirus Survey","Black or African American","Female","Some College or Associate","65+","Midwest","Midwest::65+::Female","Definitely will vote","Democratic Party",0.911486217410747,"Version A","50","Version B","C","Only Fair","Don't know","Very worried","Yes, changing routines or plans","Not changed"
692,"Coronavirus Survey","White","Female","Post-Grad","18-34","Midwest","Midwest::18-34::Female","Definitely will vote","Democratic Party",0.663204161530649,"Version B","1000","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
693,"Political Survey","White","Female","Post-Grad","35-44","West","West::35-44::Female","Definitely will not vote","Independent or another party",0.757270854038477,"Version A","100","Version A","A","Only Fair","Get worse",NA,NA,NA
694,"Coronavirus Survey","Black or African American","Female","College Grad","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Independent or another party",0.603405678177144,"Version A","1000","Version A","C","Good","Improve","Not too worried","Yes, changing routines or plans","Not changed"
695,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Likely will not vote","Independent or another party",0.823626259055456,"Version B","100","Version B","B","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Working from home"
696,"Political Survey","White","Male","Some College or Associate","18-34","Midwest","Midwest::18-34::Male","Likely will vote","Republican Party",1.08595261557615,"Version A","7","Version A","B","Excellent","Improve",NA,NA,NA
697,"Political Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Likely will not vote","Republican Party",1.02270682558252,"Version B","20","Version A","B","Poor","Don't know",NA,NA,NA
698,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Democratic Party",0.968063991660096,"Version A","100","Version B","C","Only Fair","Get worse",NA,NA,NA
699,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",1.16207996772435,"Version B","10000","Version B","C","Only Fair","(Vol. DK/Refuse)",NA,NA,NA
700,"Political Survey","White","Male","Post-Grad","35-44","Midwest","Midwest::35-44::Male","Likely will vote","Republican Party",0.793584427475592,"Version A","100","Version A","A","Good","Improve",NA,NA,NA
701,"Political Survey","White","Female","Some College or Associate","35-44","West","West::35-44::Female","Definitely will vote","Democratic Party",0.807137978879975,"Version B","100","Version A","B","Poor","Get worse",NA,NA,NA
702,"Coronavirus Survey","White","Male","College Grad","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Democratic Party",0.838333210595406,"Version B","1000","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
703,"Political Survey","White","Male","HS or Less","35-44","South","South::35-44::Male","Definitely will vote","Republican Party",1.14132591733739,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
704,"Coronavirus Survey","White","Male","College Grad","65+","West","West::65+::Male","Definitely will vote","Republican Party",0.946285697033611,"Version A","1000","Version A","C","Only Fair","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
705,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",0.812677566010643,"Version B","700","Version A","C","Excellent","Improve",NA,NA,NA
706,"Coronavirus Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Likely will not vote","Republican Party",0.913669251303991,"Version A","100","Version B","B","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
707,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",1.01141412338944,"Version A","100","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
708,"Political Survey","Black or African American","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Democratic Party",0.78163427881448,"Version B","10","Version B","B","Only Fair","Get worse",NA,NA,NA
709,"Political Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",0.910278979871321,"Version B","1000","Version A","B","Only Fair","Get worse",NA,NA,NA
710,"Coronavirus Survey","Black or African American","Female","College Grad","35-44","West","West::35-44::Female","Likely will vote","Republican Party",0.635248140805104,"Version A","100","Version B","A","Excellent","Improve","Somewhat worried","Yes, changing routines or plans","Working from home"
711,"Coronavirus Survey","White","Female","College Grad","35-44","West","West::35-44::Female","Definitely will vote","Republican Party",0.623094013055941,"Version B","10000000000","Version B","C","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Working from home"
712,"Coronavirus Survey","White","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will vote","Independent or another party",0.828730304826455,"Version B","10000","Version A","B","Poor","Get worse","Very worried","Yes, changing routines or plans","Laid off"
713,"Coronavirus Survey","White","Male","College Grad","35-44","Midwest","Midwest::35-44::Male","Likely will vote","Democratic Party",0.652973375348396,"Version B","2","Version B","A","Good","Improve","Not too worried","Yes, changing routines or plans","Laid off"
714,"Coronavirus Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Republican Party",0.859811243045167,"Version B","1","Version A","A","Only Fair","Improve","Not too worried","Yes, changing routines or plans","Not changed"
715,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.968063991660096,"Version A","100","Version B","C","Good","Improve",NA,NA,NA
716,"Coronavirus Survey","White","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will vote","Independent or another party",0.828730304826455,"Version B","10000000","Version B","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
717,"Coronavirus Survey","White","Male","HS or Less","65+","Northeast","Northeast::65+::Male","Definitely will vote","Democratic Party",0.825642015738228,"Version A","100","Version A","A","Good","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
718,"Political Survey","White","Female","College Grad","18-34","South","South::18-34::Female","Definitely will not vote","(Vol. DK/Refuse)",0.668176097339066,"Version A","100","Version B","C","Only Fair","Stay about the same",NA,NA,NA
719,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Likely will vote","Republican Party",1.01141412338944,"Version A","100","Version B","B","(Vol. DK/Refuse)","Get worse","Very worried","Yes, changing routines or plans","Other change"
720,"Political Survey","Black or African American","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",0.837780477827716,"Version B","100","Version A","A","Only Fair","Get worse",NA,NA,NA
721,"Coronavirus Survey","White","Female","College Grad","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.66474772825936,"Version B","10000000000000000139372116959414099130712064","Version B","B","Only Fair","Don't know","Somewhat worried","Yes, changing routines or plans","Not changed"
722,"Coronavirus Survey","White","Female","Post-Grad","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.807894265313555,"Version B","100000000","Version A","C","Poor","Get worse","Not worried at all","Yes, changing routines or plans","Working from home"
723,"Political Survey","White","Male","College Grad","18-34","West","West::18-34::Male","Likely will vote","Democratic Party",1.61138319873798,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
724,"Political Survey","White","Female","College Grad","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.564637303417824,"Version B","10000000000","Version B","C","Poor","Improve",NA,NA,NA
725,"Coronavirus Survey","White","Female","Post-Grad","35-44","South","South::35-44::Female","Definitely will vote","Independent or another party",0.770981346782639,"Version B","1000","Version A","A","Only Fair","Get worse","Not too worried","Yes, changing routines or plans","Working from home"
726,"Coronavirus Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",0.731414846446271,"Version B","1000","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
727,"Political Survey","White","Male","College Grad","65+","West","West::65+::Male","Definitely will vote","Democratic Party",0.946285697033611,"Version B","1","Version A","B","Poor","Get worse",NA,NA,NA
728,"Coronavirus Survey","White","Male","HS or Less","35-44","Midwest","Midwest::35-44::Male","Definitely will not vote","Independent or another party",1.05268981414682,"Version A","100","Version B","A","Poor","Get worse","Somewhat worried","No, not changing routines or plans","Not changed"
729,"Political Survey","White","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Likely will vote","Democratic Party",0.661788843988599,"Version A","10000","Version A","B","Poor","Improve",NA,NA,NA
730,"Political Survey","White","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Republican Party",0.766679362353337,"Version A","100","Version B","B","Good","Get worse",NA,NA,NA
731,"Political Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Likely will vote","Republican Party",0.731414846446271,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
732,"Political Survey","White","Male","Some College or Associate","65+","South","South::65+::Male","Definitely will vote","Republican Party",1.033272666407,"Version A","100","Version B","B","Only Fair","Improve",NA,NA,NA
733,"Coronavirus Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Independent or another party",0.859811243045167,"Version B","110","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Working from home"
734,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.16207996772435,"Version A","100","Version B","C","Poor","Improve",NA,NA,NA
735,"Political Survey","Other","Female","College Grad","35-44","West","West::35-44::Female","Definitely will vote","Democratic Party",0.762963776009598,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
736,"Political Survey","Hispanic","Male","Some College or Associate","35-44","South","South::35-44::Male","Definitely will vote","Republican Party",1.6658926272107,"Version B","100","Version A","A","Good","Get worse",NA,NA,NA
737,"Coronavirus Survey","White","Male","Some College or Associate","65+","Midwest","Midwest::65+::Male","Definitely will vote","Republican Party",0.919856792350644,"Version B","10000000","Version A","B","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Laid off"
738,"Coronavirus Survey","Other","Male","HS or Less","45-64","Northeast","Northeast::45-64::Male","Likely will vote","Democratic Party",1.19776391716616,"Version B","1000","Version B","B","(Vol. DK/Refuse)","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
739,"Political Survey","White","Male","College Grad","65+","West","West::65+::Male","Definitely will vote","Republican Party",0.946285697033611,"Version A","1","Version B","C","Only Fair","Stay about the same",NA,NA,NA
740,"Coronavirus Survey","White","Male","Post-Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Independent or another party",0.622421379549921,"Version B","1000000","Version A","C","Only Fair","Don't know","Somewhat worried","Yes, changing routines or plans","Laid off"
741,"Coronavirus Survey","Other","Female","Post-Grad","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.840267509567637,"Version A","100","Version B","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
742,"Political Survey","White","Male","College Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Republican Party",0.51213780792872,"Version A","100","Version A","C","Good","Stay about the same",NA,NA,NA
743,"Coronavirus Survey","Other","Female","Post-Grad","35-44","West","West::35-44::Female","Definitely will vote","Democratic Party",0.927260121511292,"Version B","100","Version A","A","Good","Stay about the same","Somewhat worried","No, not changing routines or plans","Hours increased"
744,"Coronavirus Survey","Other","Male","College Grad","35-44","South","South::35-44::Male","Definitely will vote","Independent or another party",0.866872194295647,"Version A","100","Version A","C","Excellent","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
745,"Political Survey","Hispanic","Female","HS or Less","35-44","West","West::35-44::Female","Definitely will not vote","Independent or another party",1.82476354047475,NA,NA,"Version B","C","Only Fair","Stay about the same",NA,NA,NA
746,"Political Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will not vote","Independent or another party",0.910278979871321,"Version A","1000","Version A","B","Good","Get worse",NA,NA,NA
747,"Coronavirus Survey","Black or African American","Female","Some College or Associate","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",0.842563050932406,"Version B","100","Version B","B","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
748,"Coronavirus Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",0.812677566010643,"Version B","100000","Version A","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
749,"Political Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.731414846446271,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
750,"Political Survey","White","Female","Post-Grad","18-34","Midwest","Midwest::18-34::Female","Likely will not vote","Democratic Party",0.663204161530649,"Version B","100","Version B","C","Only Fair","Get worse",NA,NA,NA
751,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will not vote","Independent or another party",1.16207996772435,"Version A","100","Version A","A","Only Fair","Don't know",NA,NA,NA
752,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Democratic Party",0.747325603852101,"Version B","1000","Version A","C","Only Fair","Get worse",NA,NA,NA
753,"Political Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Republican Party",0.913669251303991,"Version A","1000","Version B","B","Good","Stay about the same",NA,NA,NA
754,"Coronavirus Survey","White","Female","College Grad","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.510887453429852,"Version A","100000","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Working from home"
755,"Political Survey","White","Female","Some College or Associate","65+","Northeast","Northeast::65+::Female","Definitely will vote","Independent or another party",0.734138950719982,"Version B","200","Version B","B","Only Fair","Get worse",NA,NA,NA
756,"Political Survey","White","Male","Some College or Associate","65+","Northeast","Northeast::65+::Male","Definitely will vote","Republican Party",0.663408517074768,"Version A","1000","Version A","B","Only Fair","Get worse",NA,NA,NA
757,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Independent or another party",0.823626259055456,"Version A","100","Version B","C","Poor","Don't know","Somewhat worried","Yes, changing routines or plans","Other change"
758,"Political Survey","White","Male","Some College or Associate","35-44","South","South::35-44::Male","Likely will vote","Democratic Party",0.917062503950693,"Version B","10000000000000000000000","Version A","A","Poor","Get worse",NA,NA,NA
759,"Coronavirus Survey","Hispanic","Female","Some College or Associate","35-44","West","West::35-44::Female","Definitely will not vote","Independent or another party",1.46620890328124,"Version A","250","Version A","B","Good","Don't know","Very worried","Yes, changing routines or plans","Working from home"
760,"Political Survey","White","Male","Post-Grad","65+","South","South::65+::Male","Definitely will vote","Independent or another party",0.969434340867509,"Version B","10000000","Version B","C","Good","Stay about the same",NA,NA,NA
761,"Political Survey","White","Male","Post-Grad","65+","West","West::65+::Male","Definitely will vote","Democratic Party",1.15005851916716,"Version B","10000000","Version A","A","Poor","Get worse",NA,NA,NA
762,"Coronavirus Survey","White","Female","Post-Grad","18-34","South","South::18-34::Female","Definitely will vote","Republican Party",0.812060898159561,"Version A","100","Version A","A","Good","Stay about the same","Somewhat worried","Yes, changing routines or plans","Hours increased"
763,"Political Survey","Hispanic","Male","HS or Less","18-34","South","South::18-34::Male","Definitely will vote","Independent or another party",4.19513663274818,"Version B","30","Version B","C","Only Fair","Get worse",NA,NA,NA
764,"Coronavirus Survey","Black or African American","Female","Some College or Associate","65+","Midwest","Midwest::65+::Female","Definitely will vote","Democratic Party",0.911486217410747,"Version B","1000","Version A","B","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Other change"
765,"Political Survey","White","Male","HS or Less","45-64","West","West::45-64::Male","Definitely will vote","Democratic Party",1.0732741905022,"Version A","100","Version B","B","Only Fair","Stay about the same",NA,NA,NA
